,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c1_ORG.tif,R1,c1,ORG,BM-Her2N75-18-Scene-017,DAPI,BM-Her2N75-18,40.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-017,CD20,BM-Her2N75-18,160.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c3_ORG.tif,R1,c3,ORG,BM-Her2N75-18-Scene-017,CD8,BM-Her2N75-18,80.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-017,CD4,BM-Her2N75-18,750.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c5_ORG.tif,R1,c5,ORG,BM-Her2N75-18-Scene-017,CK19,BM-Her2N75-18,1000.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c1_ORG.tif,R1,c1,ORG,BM-Her2N75-18-Scene-049,DAPI,BM-Her2N75-18,40.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-049,CD20,BM-Her2N75-18,160.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c3_ORG.tif,R1,c3,ORG,BM-Her2N75-18-Scene-049,CD8,BM-Her2N75-18,80.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-049,CD4,BM-Her2N75-18,750.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c5_ORG.tif,R1,c5,ORG,BM-Her2N75-18-Scene-049,CK19,BM-Her2N75-18,1000.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c1_ORG.tif,R1,c1,ORG,BM-Her2N75-18-Scene-059,DAPI,BM-Her2N75-18,40.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-059,CD20,BM-Her2N75-18,160.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c3_ORG.tif,R1,c3,ORG,BM-Her2N75-18-Scene-059,CD8,BM-Her2N75-18,80.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-059,CD4,BM-Her2N75-18,750.0,1.0
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c5_ORG.tif,R1,c5,ORG,BM-Her2N75-18-Scene-059,CK19,BM-Her2N75-18,1000.0,1.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c1_ORG.tif,R2,c1,ORG,BM-Her2N75-18-Scene-017,DAPI,BM-Her2N75-18,15.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c2_ORG.tif,R2,c2,ORG,BM-Her2N75-18-Scene-017,PCNA,BM-Her2N75-18,80.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c3_ORG.tif,R2,c3,ORG,BM-Her2N75-18-Scene-017,Her2,BM-Her2N75-18,60.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c4_ORG.tif,R2,c4,ORG,BM-Her2N75-18-Scene-017,ER,BM-Her2N75-18,1500.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-017,CD45,BM-Her2N75-18,2000.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c1_ORG.tif,R2,c1,ORG,BM-Her2N75-18-Scene-049,DAPI,BM-Her2N75-18,15.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c2_ORG.tif,R2,c2,ORG,BM-Her2N75-18-Scene-049,PCNA,BM-Her2N75-18,80.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c3_ORG.tif,R2,c3,ORG,BM-Her2N75-18-Scene-049,Her2,BM-Her2N75-18,60.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c4_ORG.tif,R2,c4,ORG,BM-Her2N75-18-Scene-049,ER,BM-Her2N75-18,1500.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-049,CD45,BM-Her2N75-18,2000.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c1_ORG.tif,R2,c1,ORG,BM-Her2N75-18-Scene-059,DAPI,BM-Her2N75-18,15.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c2_ORG.tif,R2,c2,ORG,BM-Her2N75-18-Scene-059,PCNA,BM-Her2N75-18,80.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c3_ORG.tif,R2,c3,ORG,BM-Her2N75-18-Scene-059,Her2,BM-Her2N75-18,60.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c4_ORG.tif,R2,c4,ORG,BM-Her2N75-18-Scene-059,ER,BM-Her2N75-18,1500.0,2.0
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-059,CD45,BM-Her2N75-18,2000.0,2.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c1_ORG.tif,R3,c1,ORG,BM-Her2N75-18-Scene-017,DAPI,BM-Her2N75-18,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c2_ORG.tif,R3,c2,ORG,BM-Her2N75-18-Scene-017,pH3,BM-Her2N75-18,80.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c3_ORG.tif,R3,c3,ORG,BM-Her2N75-18-Scene-017,CK14,BM-Her2N75-18,40.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-017,CD44,BM-Her2N75-18,350.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c5_ORG.tif,R3,c5,ORG,BM-Her2N75-18-Scene-017,CK5,BM-Her2N75-18,350.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c1_ORG.tif,R3,c1,ORG,BM-Her2N75-18-Scene-049,DAPI,BM-Her2N75-18,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c2_ORG.tif,R3,c2,ORG,BM-Her2N75-18-Scene-049,pH3,BM-Her2N75-18,80.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c3_ORG.tif,R3,c3,ORG,BM-Her2N75-18-Scene-049,CK14,BM-Her2N75-18,40.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-049,CD44,BM-Her2N75-18,350.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c5_ORG.tif,R3,c5,ORG,BM-Her2N75-18-Scene-049,CK5,BM-Her2N75-18,350.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c1_ORG.tif,R3,c1,ORG,BM-Her2N75-18-Scene-059,DAPI,BM-Her2N75-18,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c2_ORG.tif,R3,c2,ORG,BM-Her2N75-18-Scene-059,pH3,BM-Her2N75-18,80.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c3_ORG.tif,R3,c3,ORG,BM-Her2N75-18-Scene-059,CK14,BM-Her2N75-18,40.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-059,CD44,BM-Her2N75-18,350.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c5_ORG.tif,R3,c5,ORG,BM-Her2N75-18-Scene-059,CK5,BM-Her2N75-18,350.0,3.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-017,DAPI,BM-Her2N75-18,15.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-017,Vim,BM-Her2N75-18,80.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-017,CK7,BM-Her2N75-18,35.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-017,PD1,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-017,LaminAC,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-049,DAPI,BM-Her2N75-18,15.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-049,Vim,BM-Her2N75-18,80.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-049,CK7,BM-Her2N75-18,35.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-049,PD1,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-049,LaminAC,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-059,DAPI,BM-Her2N75-18,15.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-059,Vim,BM-Her2N75-18,80.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-059,CK7,BM-Her2N75-18,35.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-059,PD1,BM-Her2N75-18,1500.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-059,LaminAC,BM-Her2N75-18,1500.0,4.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-017,DAPI,BM-Her2N75-18,15.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-017,aSMA,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-017,CD68,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-017,Ki67,BM-Her2N75-18,500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-017,E-Cad,BM-Her2N75-18,2500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-049,DAPI,BM-Her2N75-18,15.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-049,aSMA,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-049,CD68,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-049,Ki67,BM-Her2N75-18,500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-049,E-Cad,BM-Her2N75-18,2500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-059,DAPI,BM-Her2N75-18,15.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-059,aSMA,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-059,CD68,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-059,Ki67,BM-Her2N75-18,500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-059,E-Cad,BM-Her2N75-18,2500.0,5.0
