path,rounds,color,imagetype,scene,marker,path,round_int,tissue,exposure,slide,threshold,maxthreshold,meanpostive,meannegative,minimum,meanpos,meanneg
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-017_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-15-Scene-017,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-017_c2_ORG.tif,1.0,BM-Her2N75-15-Scene-017,160.0,BM-Her2N75-15,6500.0,12000.0,9049.570957458503,3340.451902567341,6500.0,9697.452412941646,2626.966482085836
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-017_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-17-Scene-017,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-017_c2_ORG.tif,1.0,BM-Her2N75-17-Scene-017,160.0,BM-Her2N75-17,6500.0,12000.0,9708.211374639946,3271.39429035726,6500.0,10426.235365967876,2444.0649428586635
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-017,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c2_ORG.tif,1.0,BM-Her2N75-18-Scene-017,160.0,BM-Her2N75-18,6500.0,12000.0,9001.077935320967,3358.122882431392,6500.0,10398.159538567494,2529.177306757584
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-049_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-15-Scene-049,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-049_c2_ORG.tif,1.0,BM-Her2N75-15-Scene-049,160.0,BM-Her2N75-15,6500.0,12000.0,9623.104529784721,3246.9099035328545,6500.0,9583.578232783566,2500.507286882931
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-049_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-17-Scene-049,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-049_c2_ORG.tif,1.0,BM-Her2N75-17-Scene-049,160.0,BM-Her2N75-17,6500.0,12000.0,9576.950960280856,3516.6928668165806,6500.0,9350.42728472283,2577.3652021233406
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-049,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c2_ORG.tif,1.0,BM-Her2N75-18-Scene-049,160.0,BM-Her2N75-18,6500.0,12000.0,8644.515980307884,3536.358938844358,6500.0,9034.997787701124,2706.4801199710196
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-059_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-15-Scene-059,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-059_c2_ORG.tif,1.0,BM-Her2N75-15-Scene-059,160.0,BM-Her2N75-15,6500.0,12000.0,8081.285929043896,2722.946390934525,6500.0,8643.287886280657,2339.632277245863
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-059_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-17-Scene-059,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-059_c2_ORG.tif,1.0,BM-Her2N75-17-Scene-059,160.0,BM-Her2N75-17,6500.0,12000.0,8412.912051265284,2893.4590431918627,6500.0,8654.924495303214,2413.650844985118
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-059,CD20,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c2_ORG.tif,1.0,BM-Her2N75-18-Scene-059,160.0,BM-Her2N75-18,6500.0,12000.0,7950.073449658101,3066.066308220669,6500.0,8761.312861384591,2547.2804618807077
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-017_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-15-Scene-017,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-017_c4_ORG.tif,1.0,BM-Her2N75-15-Scene-017,1000.0,BM-Her2N75-15,3000.0,20000.0,3855.4763619638506,1681.2199039881832,3000.0,4122.089398564778,1546.5491558510448
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-017_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-17-Scene-017,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-017_c4_ORG.tif,1.0,BM-Her2N75-17-Scene-017,1000.0,BM-Her2N75-17,3200.0,25000.0,4309.485229793693,1536.2092170804644,3200.0,4443.527086408548,1293.1037849790118
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-017,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c4_ORG.tif,1.0,BM-Her2N75-18-Scene-017,1000.0,BM-Her2N75-18,3000.0,25000.0,4076.5227954295256,1342.169796985382,3000.0,4110.224375062578,1144.2781644885547
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-049_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-15-Scene-049,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-049_c4_ORG.tif,1.0,BM-Her2N75-15-Scene-049,1000.0,BM-Her2N75-15,3000.0,20000.0,4389.869133059066,1637.1154084110235,3000.0,4411.846937639081,1432.699089710332
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-049_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-17-Scene-049,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-049_c4_ORG.tif,1.0,BM-Her2N75-17-Scene-049,1000.0,BM-Her2N75-17,3200.0,25000.0,4755.741451461924,1509.6966707075915,3200.0,4949.409361336733,1231.6534411647367
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-049,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c4_ORG.tif,1.0,BM-Her2N75-18-Scene-049,1000.0,BM-Her2N75-18,3000.0,25000.0,4411.982939520602,1220.7334407729,3000.0,4689.101991414208,1049.9566034756222
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-059_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-15-Scene-059,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-059_c4_ORG.tif,1.0,BM-Her2N75-15-Scene-059,1000.0,BM-Her2N75-15,3000.0,20000.0,4343.055052180244,1776.6457926475953,3000.0,4959.749356687729,1451.025189724618
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-059_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-17-Scene-059,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-17-Scene-059_c4_ORG.tif,1.0,BM-Her2N75-17-Scene-059,1000.0,BM-Her2N75-17,3200.0,25000.0,4931.783190133037,1655.019603137295,3200.0,5999.714381619984,1291.8905197425277
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-059,CD4,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c4_ORG.tif,1.0,BM-Her2N75-18-Scene-059,1000.0,BM-Her2N75-18,3000.0,25000.0,4502.9395137980355,1353.0365486052913,3000.0,5762.889061016019,1064.6971027004386
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-15-Scene-017_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-15-Scene-017,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-15-Scene-017_c4_ORG.tif,3.0,BM-Her2N75-15-Scene-017,1000.0,BM-Her2N75-15,5000.0,40000.0,9000.065330974332,2053.3017579464567,5000.0,8902.52966829307,1740.9484918707765
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-17-Scene-017_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-17-Scene-017,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-17-Scene-017_c4_ORG.tif,3.0,BM-Her2N75-17-Scene-017,1000.0,BM-Her2N75-17,1500.0,8500.0,2337.3190800544917,809.8975372448662,1500.0,2772.6742329133212,746.7407480711893
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-017,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c4_ORG.tif,3.0,BM-Her2N75-18-Scene-017,1000.0,BM-Her2N75-18,2000.0,15000.0,3604.932120975757,809.0056566883803,2000.0,3509.127098590019,657.7551241715279
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-15-Scene-049_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-15-Scene-049,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-15-Scene-049_c4_ORG.tif,3.0,BM-Her2N75-15-Scene-049,1000.0,BM-Her2N75-15,5000.0,40000.0,6570.862711864407,1241.3171851398547,5000.0,6594.686676518952,1237.8778230610706
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-17-Scene-049_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-17-Scene-049,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-17-Scene-049_c4_ORG.tif,3.0,BM-Her2N75-17-Scene-049,1000.0,BM-Her2N75-17,1500.0,8500.0,2286.7088212334115,501.53094476177256,1500.0,2116.4899003685,483.1550068284767
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-049,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c4_ORG.tif,3.0,BM-Her2N75-18-Scene-049,1000.0,BM-Her2N75-18,2000.0,15000.0,2396.976,467.9838212929795,2000.0,2577.3087289029536,475.91909295559947
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-15-Scene-059_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-15-Scene-059,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-15-Scene-059_c4_ORG.tif,3.0,BM-Her2N75-15-Scene-059,1000.0,BM-Her2N75-15,5000.0,40000.0,8814.562976575207,1493.170816988576,5000.0,8821.387609993744,1644.003012183926
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-17-Scene-059_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-17-Scene-059,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-17-Scene-059_c4_ORG.tif,3.0,BM-Her2N75-17-Scene-059,1000.0,BM-Her2N75-17,1500.0,8500.0,2358.917828152246,656.805827068871,1500.0,2413.507738476381,694.864711111231
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-059,CD44,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c4_ORG.tif,3.0,BM-Her2N75-18-Scene-059,1000.0,BM-Her2N75-18,2000.0,15000.0,3433.4737274320664,619.3551309175355,2000.0,3586.971030628731,626.9445008372169
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-15-Scene-017_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-15-Scene-017,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-15-Scene-017_c5_ORG.tif,2.0,BM-Her2N75-15-Scene-017,2000.0,BM-Her2N75-15,3200.0,30000.0,3662.1311390955934,1512.9221682997006,3200.0,3718.7440106956315,1431.7223927337548
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-17-Scene-017_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-17-Scene-017,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-17-Scene-017_c5_ORG.tif,2.0,BM-Her2N75-17-Scene-017,2000.0,BM-Her2N75-17,3800.0,30000.0,4368.226645105113,1745.0411353171296,3800.0,4289.737085741922,1587.7140936383037
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-017,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c5_ORG.tif,2.0,BM-Her2N75-18-Scene-017,2000.0,BM-Her2N75-18,3500.0,30000.0,3969.578318219291,1548.581606361743,3500.0,4068.6347836008213,1438.1045740490251
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-15-Scene-049_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-15-Scene-049,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-15-Scene-049_c5_ORG.tif,2.0,BM-Her2N75-15-Scene-049,2000.0,BM-Her2N75-15,3200.0,30000.0,3796.659108183431,1462.8699616717706,3200.0,4043.8204268719724,1365.7824982099341
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-17-Scene-049_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-17-Scene-049,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-17-Scene-049_c5_ORG.tif,2.0,BM-Her2N75-17-Scene-049,2000.0,BM-Her2N75-17,3800.0,30000.0,4435.022869727257,1798.3903047255853,3800.0,4499.470783228616,1551.8320662183767
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-049,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-18/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c5_ORG.tif,2.0,BM-Her2N75-18-Scene-049,2000.0,BM-Her2N75-18,3500.0,30000.0,4106.758602150538,1449.9695998617779,3500.0,4284.936515778977,1362.552735710598
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-15-Scene-059_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-15-Scene-059,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-15/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-15-Scene-059_c5_ORG.tif,2.0,BM-Her2N75-15-Scene-059,2000.0,BM-Her2N75-15,3200.0,30000.0,4751.972794771092,1700.1011446773232,3200.0,5535.532921506869,1451.4758967274884
/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-17-Scene-059_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-17-Scene-059,CD45,/home/groups/graylab_share/OMERO.rdsStore/engje/Data/20191104_ValidationStudies/Images/tiff/BM-Her2N75-17/Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-17-Scene-059_c5_ORG.tif,2.0,BM-Her2N75-17-Scene-059,2000.0,BM-Her2N75-17,3800.0,30000.0,5259.858170105988,2121.10840273672,3800.0,5878.6732865422,1707.2914849181338
